Analysis_ID,CheckIn_Date_ID,City_ID,Star_Rating,Price_Delta_Bucket,Feature_Parity_Bucket,Total_Opportunities,Wins_Count,Losses_Count,Win_Rate_Pct,Avg_Price_Delta_SAR,Avg_Feature_Parity_Score,Revenue_Impact_SAR
81,20240107,2,4,Cheaper_10pct+,Low_0_50pct,126,47,79,38,-72.61,0.68,78714.9
82,20240107,2,4,Cheaper_10pct+,Medium_50_75pct,169,131,38,78,-67.12,0.62,159095.34
83,20240107,2,4,Cheaper_10pct+,High_75_90pct,277,60,217,22,1.56,0.57,117252.57
84,20240107,2,4,Cheaper_10pct+,Match_90pct+,492,196,296,40,94.95,0.57,223237.65
85,20240107,2,4,Cheaper_5_10pct,Low_0_50pct,175,71,104,41,-92.19,0.85,102663.79
86,20240107,2,4,Cheaper_5_10pct,Medium_50_75pct,81,12,69,16,-71.34,0.56,17994.92
87,20240107,2,4,Cheaper_5_10pct,High_75_90pct,354,237,117,67,-39.43,0.52,409528.4
88,20240107,2,4,Cheaper_5_10pct,Match_90pct+,368,165,203,45,83.57,0.73,108273.82
89,20240107,2,4,Match_5pct,Low_0_50pct,276,182,94,66,-11.5,0.6,219339.25
90,20240107,2,4,Match_5pct,Medium_50_75pct,144,84,60,59,54.41,0.86,63373.94
91,20240107,2,4,Match_5pct,High_75_90pct,408,159,249,39,-19.16,0.75,311277.52
92,20240107,2,4,Match_5pct,Match_90pct+,433,73,360,17,-68.53,0.84,116888.2
93,20240107,2,4,Expensive_5_10pct,Low_0_50pct,158,110,48,70,62.08,0.72,105761.38
94,20240107,2,4,Expensive_5_10pct,Medium_50_75pct,358,193,165,54,62.4,0.66,100810.76
95,20240107,2,4,Expensive_5_10pct,High_75_90pct,448,300,148,67,-91.44,0.87,477899.78
96,20240107,2,4,Expensive_5_10pct,Match_90pct+,162,32,130,20,-79.62,0.57,24086.33
97,20240107,2,4,Expensive_10pct+,Low_0_50pct,426,230,196,54,85.12,0.73,154204.16
98,20240107,2,4,Expensive_10pct+,Medium_50_75pct,473,307,166,65,-22.38,0.96,175993.06
99,20240107,2,4,Expensive_10pct+,High_75_90pct,50,20,30,40,73.03,0.94,13734.48
100,20240107,2,4,Expensive_10pct+,Match_90pct+,490,205,285,42,-66.85,0.85,333768.4
101,20240107,2,5,Cheaper_10pct+,Low_0_50pct,440,246,194,56,97.97,0.68,236563.86
102,20240107,2,5,Cheaper_10pct+,Medium_50_75pct,397,293,104,74,-44.52,0.76,218648.53
103,20240107,2,5,Cheaper_10pct+,High_75_90pct,272,84,188,31,80.26,0.72,74462.91
104,20240107,2,5,Cheaper_10pct+,Match_90pct+,96,41,55,43,67.11,0.67,53695.03
105,20240107,2,5,Cheaper_5_10pct,Low_0_50pct,473,104,369,22,65.32,0.5,166397.03
106,20240107,2,5,Cheaper_5_10pct,Medium_50_75pct,332,56,276,17,54.56,0.86,60338.72
107,20240107,2,5,Cheaper_5_10pct,High_75_90pct,283,76,207,27,-6.92,0.95,87910.62
108,20240107,2,5,Cheaper_5_10pct,Match_90pct+,80,33,47,42,-90.57,0.94,36989.79
109,20240107,2,5,Match_5pct,Low_0_50pct,428,278,150,65,66.49,0.91,148182.02
110,20240107,2,5,Match_5pct,Medium_50_75pct,475,361,114,76,91.42,0.95,676623.75
111,20240107,2,5,Match_5pct,High_75_90pct,404,169,235,42,68.57,0.58,256508.64
112,20240107,2,5,Match_5pct,Match_90pct+,405,255,150,63,69.73,0.9,416103.48
113,20240107,2,5,Expensive_5_10pct,Low_0_50pct,403,225,178,56,-20.7,0.52,252653.48
114,20240107,2,5,Expensive_5_10pct,Medium_50_75pct,395,217,178,55,57.61,0.86,213336.03
115,20240107,2,5,Expensive_5_10pct,High_75_90pct,130,89,41,69,88.37,0.85,132571.9
116,20240107,2,5,Expensive_5_10pct,Match_90pct+,226,135,91,60,-96.11,0.94,94161.18
117,20240107,2,5,Expensive_10pct+,Low_0_50pct,284,28,256,10,20.74,0.52,54834.59
118,20240107,2,5,Expensive_10pct+,Medium_50_75pct,403,124,279,31,-96.05,0.74,62927.83
119,20240107,2,5,Expensive_10pct+,High_75_90pct,473,245,228,52,22.41,0.58,350803.34
120,20240107,2,5,Expensive_10pct+,Match_90pct+,114,43,71,38,-34.82,0.74,56234.55
121,20240107,3,3,Cheaper_10pct+,Low_0_50pct,183,64,119,35,56.97,0.58,87050.45
122,20240107,3,3,Cheaper_10pct+,Medium_50_75pct,76,48,28,64,-26.19,0.86,93141.38
123,20240107,3,3,Cheaper_10pct+,High_75_90pct,87,56,31,65,34.81,0.78,76554.97
124,20240107,3,3,Cheaper_10pct+,Match_90pct+,410,94,316,23,45.63,0.77,79913.0
125,20240107,3,3,Cheaper_5_10pct,Low_0_50pct,109,23,86,22,63.85,0.71,17255.44
126,20240107,3,3,Cheaper_5_10pct,Medium_50_75pct,498,313,185,63,7.42,0.72,185296.08
127,20240107,3,3,Cheaper_5_10pct,High_75_90pct,211,69,142,33,-34.5,0.72,85955.63
128,20240107,3,3,Cheaper_5_10pct,Match_90pct+,184,55,129,30,-56.3,0.85,41143.66
129,20240107,3,3,Match_5pct,Low_0_50pct,414,223,191,54,-54.17,0.93,119751.12
130,20240107,3,3,Match_5pct,Medium_50_75pct,112,23,89,21,-23.62,0.88,38837.61
131,20240107,3,3,Match_5pct,High_75_90pct,378,60,318,16,39.08,0.55,71398.67
132,20240107,3,3,Match_5pct,Match_90pct+,356,234,122,66,99.95,0.53,334931.44
133,20240107,3,3,Expensive_5_10pct,Low_0_50pct,417,116,301,28,0.11,0.99,85642.52
134,20240107,3,3,Expensive_5_10pct,Medium_50_75pct,394,220,174,56,-57.65,0.54,222680.03
135,20240107,3,3,Expensive_5_10pct,High_75_90pct,456,250,206,55,-80.36,0.68,242827.31
136,20240107,3,3,Expensive_5_10pct,Match_90pct+,482,120,362,25,-21.58,0.52,167726.89
137,20240107,3,3,Expensive_10pct+,Low_0_50pct,129,72,57,56,-96.26,0.71,131347.89
138,20240107,3,3,Expensive_10pct+,Medium_50_75pct,456,72,384,16,-13.73,0.62,49157.39
139,20240107,3,3,Expensive_10pct+,High_75_90pct,53,37,16,71,-37.02,0.8,57066.83
140,20240107,3,3,Expensive_10pct+,Match_90pct+,235,173,62,74,-68.12,0.63,228855.87
141,20240107,3,4,Cheaper_10pct+,Low_0_50pct,175,113,62,65,-54.98,0.84,191833.85
142,20240107,3,4,Cheaper_10pct+,Medium_50_75pct,57,40,17,71,70.25,0.5,23282.28
143,20240107,3,4,Cheaper_10pct+,High_75_90pct,361,259,102,72,70.22,0.65,262808.34
144,20240107,3,4,Cheaper_10pct+,Match_90pct+,100,61,39,61,-78.81,0.92,111548.48
145,20240107,3,4,Cheaper_5_10pct,Low_0_50pct,461,212,249,46,-51.21,0.74,331710.18
146,20240107,3,4,Cheaper_5_10pct,Medium_50_75pct,143,105,38,74,-16.96,0.51,62539.93
147,20240107,3,4,Cheaper_5_10pct,High_75_90pct,158,115,43,73,-40.97,0.81,91262.04
148,20240107,3,4,Cheaper_5_10pct,Match_90pct+,464,213,251,46,98.46,0.54,407374.07
149,20240107,3,4,Match_5pct,Low_0_50pct,487,204,283,42,53.54,0.76,113851.38
150,20240107,3,4,Match_5pct,Medium_50_75pct,248,89,159,36,8.22,0.53,63789.83
151,20240107,3,4,Match_5pct,High_75_90pct,353,162,191,46,-96.53,0.96,102612.54
152,20240107,3,4,Match_5pct,Match_90pct+,153,35,118,23,65.85,0.82,18341.88
153,20240107,3,4,Expensive_5_10pct,Low_0_50pct,455,300,155,66,86.38,0.53,288152.87
154,20240107,3,4,Expensive_5_10pct,Medium_50_75pct,361,259,102,72,77.62,0.55,425036.3
155,20240107,3,4,Expensive_5_10pct,High_75_90pct,458,270,188,59,98.51,0.95,257653.05
156,20240107,3,4,Expensive_5_10pct,Match_90pct+,82,58,24,71,31.58,0.88,51739.4
157,20240107,3,4,Expensive_10pct+,Low_0_50pct,461,271,190,59,13.54,0.78,306010.71
158,20240107,3,4,Expensive_10pct+,Medium_50_75pct,331,205,126,62,-85.8,0.58,333364.47
159,20240107,3,4,Expensive_10pct+,High_75_90pct,164,62,102,38,-35.97,0.81,45913.98
160,20240107,3,4,Expensive_10pct+,Match_90pct+,258,190,68,74,-80.8,0.71,118066.98
161,20240107,3,5,Cheaper_10pct+,Low_0_50pct,244,58,186,24,60.06,0.69,111233.35
162,20240107,3,5,Cheaper_10pct+,Medium_50_75pct,275,93,182,34,4.85,0.58,148717.52
163,20240107,3,5,Cheaper_10pct+,High_75_90pct,487,87,400,18,24.15,0.56,116407.42
164,20240107,3,5,Cheaper_10pct+,Match_90pct+,102,38,64,38,19.43,0.66,38330.3
165,20240107,3,5,Cheaper_5_10pct,Low_0_50pct,345,244,101,71,62.12,0.56,478567.59
166,20240107,3,5,Cheaper_5_10pct,Medium_50_75pct,216,41,175,19,-82.98,0.6,33013.91
167,20240107,3,5,Cheaper_5_10pct,High_75_90pct,271,138,133,51,73.58,0.89,138795.5
168,20240107,3,5,Cheaper_5_10pct,Match_90pct+,472,75,397,16,2.6,0.58,133522.1
169,20240107,3,5,Match_5pct,Low_0_50pct,433,121,312,28,34.98,0.7,94110.99
170,20240107,3,5,Match_5pct,Medium_50_75pct,482,216,266,45,-83.4,0.73,185350.12
171,20240107,3,5,Match_5pct,High_75_90pct,131,51,80,39,-21.12,0.82,55083.1
172,20240107,3,5,Match_5pct,Match_90pct+,205,112,93,55,-51.32,0.62,100871.12
173,20240107,3,5,Expensive_5_10pct,Low_0_50pct,214,136,78,64,23.49,0.63,239384.37
174,20240107,3,5,Expensive_5_10pct,Medium_50_75pct,408,265,143,65,-15.15,0.92,233458.57
175,20240107,3,5,Expensive_5_10pct,High_75_90pct,328,200,128,61,-43.48,0.88,219833.02
176,20240107,3,5,Expensive_5_10pct,Match_90pct+,93,67,26,73,-4.01,0.68,72780.4
177,20240107,3,5,Expensive_10pct+,Low_0_50pct,466,214,252,46,-88.77,0.76,113969.75
178,20240107,3,5,Expensive_10pct+,Medium_50_75pct,69,47,22,69,20.47,0.52,84973.51
179,20240107,3,5,Expensive_10pct+,High_75_90pct,383,256,127,67,-4.93,0.64,429002.8
180,20240107,3,5,Expensive_10pct+,Match_90pct+,330,36,294,11,-1.31,0.52,71805.88
181,20240114,1,3,Cheaper_10pct+,Low_0_50pct,452,262,190,58,95.95,0.73,356473.13
182,20240114,1,3,Cheaper_10pct+,Medium_50_75pct,305,122,183,40,85.51,0.74,164907.7
183,20240114,1,3,Cheaper_10pct+,High_75_90pct,198,79,119,40,68.06,0.78,51654.16
184,20240114,1,3,Cheaper_10pct+,Match_90pct+,347,41,306,12,-33.0,0.96,57813.18
185,20240114,1,3,Cheaper_5_10pct,Low_0_50pct,337,235,102,70,23.68,0.56,162414.03
186,20240114,1,3,Cheaper_5_10pct,Medium_50_75pct,265,31,234,12,87.26,0.62,24107.42
187,20240114,1,3,Cheaper_5_10pct,High_75_90pct,376,229,147,61,-42.55,0.58,444211.04
188,20240114,1,3,Cheaper_5_10pct,Match_90pct+,66,28,38,43,-78.1,0.57,15455.06
189,20240114,1,3,Match_5pct,Low_0_50pct,437,144,293,33,24.8,0.82,261743.0
190,20240114,1,3,Match_5pct,Medium_50_75pct,278,113,165,41,31.85,0.98,184950.14
191,20240114,1,3,Match_5pct,High_75_90pct,381,304,77,80,28.17,0.94,203009.85
192,20240114,1,3,Match_5pct,Match_90pct+,176,63,113,36,-12.88,0.71,108539.34
193,20240114,1,3,Expensive_5_10pct,Low_0_50pct,264,26,238,10,71.61,0.56,29150.52
194,20240114,1,3,Expensive_5_10pct,Medium_50_75pct,181,99,82,55,-12.25,0.98,105190.08
195,20240114,1,3,Expensive_5_10pct,High_75_90pct,479,282,197,59,-23.46,0.57,412746.42
196,20240114,1,3,Expensive_5_10pct,Match_90pct+,71,21,50,30,32.4,0.6,40926.01
197,20240114,1,3,Expensive_10pct+,Low_0_50pct,459,165,294,36,-35.0,0.66,190193.59
198,20240114,1,3,Expensive_10pct+,Medium_50_75pct,458,274,184,60,3.1,0.79,468165.55
199,20240114,1,3,Expensive_10pct+,High_75_90pct,191,72,119,38,85.15,0.72,92086.5
200,20240114,1,3,Expensive_10pct+,Match_90pct+,422,143,279,34,92.02,0.59,259125.39
201,20240114,1,4,Cheaper_10pct+,Low_0_50pct,143,40,103,28,64.46,0.89,54895.62
202,20240114,1,4,Cheaper_10pct+,Medium_50_75pct,369,265,104,72,-19.45,0.6,278508.23
203,20240114,1,4,Cheaper_10pct+,High_75_90pct,314,235,79,75,24.66,0.89,298318.82
204,20240114,1,4,Cheaper_10pct+,Match_90pct+,117,86,31,74,22.76,0.51,58324.1
205,20240114,1,4,Cheaper_5_10pct,Low_0_50pct,376,285,91,76,10.02,0.93,189518.44
206,20240114,1,4,Cheaper_5_10pct,Medium_50_75pct,440,338,102,77,-1.69,0.63,580289.06
207,20240114,1,4,Cheaper_5_10pct,High_75_90pct,475,346,129,73,26.55,0.92,513647.29
208,20240114,1,4,Cheaper_5_10pct,Match_90pct+,485,145,340,30,47.66,0.89,206762.84
209,20240114,1,4,Match_5pct,Low_0_50pct,74,14,60,19,66.71,0.68,27400.49
210,20240114,1,4,Match_5pct,Medium_50_75pct,133,73,60,55,-35.58,0.64,135259.6
211,20240114,1,4,Match_5pct,High_75_90pct,281,103,178,37,-37.8,0.73,167126.87
212,20240114,1,4,Match_5pct,Match_90pct+,335,150,185,45,-75.66,0.54,278522.01
213,20240114,1,4,Expensive_5_10pct,Low_0_50pct,366,190,176,52,-44.42,0.99,285005.05
214,20240114,1,4,Expensive_5_10pct,Medium_50_75pct,165,67,98,41,-4.56,0.73,93302.45
215,20240114,1,4,Expensive_5_10pct,High_75_90pct,116,20,96,18,-5.99,0.84,32759.17
216,20240114,1,4,Expensive_5_10pct,Match_90pct+,333,33,300,10,2.63,0.85,53251.99
217,20240114,1,4,Expensive_10pct+,Low_0_50pct,106,81,25,77,-23.75,0.69,40833.47
218,20240114,1,4,Expensive_10pct+,Medium_50_75pct,411,234,177,57,95.83,0.83,329146.89
219,20240114,1,4,Expensive_10pct+,High_75_90pct,259,98,161,38,-89.02,0.59,92663.94
220,20240114,1,4,Expensive_10pct+,Match_90pct+,319,210,109,66,-40.79,0.67,145248.54
221,20240114,1,5,Cheaper_10pct+,Low_0_50pct,278,69,209,25,-2.87,0.69,108445.72
222,20240114,1,5,Cheaper_10pct+,Medium_50_75pct,94,35,59,38,-28.78,0.68,46789.58
223,20240114,1,5,Cheaper_10pct+,High_75_90pct,229,160,69,70,37.57,0.56,113857.14
224,20240114,1,5,Cheaper_10pct+,Match_90pct+,201,44,157,22,94.83,0.78,72426.71
225,20240114,1,5,Cheaper_5_10pct,Low_0_50pct,68,33,35,49,82.11,0.56,60536.41
226,20240114,1,5,Cheaper_5_10pct,Medium_50_75pct,231,120,111,52,-49.54,0.79,143624.33
227,20240114,1,5,Cheaper_5_10pct,High_75_90pct,123,87,36,71,63.42,0.76,82051.02
228,20240114,1,5,Cheaper_5_10pct,Match_90pct+,76,12,64,17,65.39,0.72,7144.59
229,20240114,1,5,Match_5pct,Low_0_50pct,494,138,356,28,70.62,0.9,162460.41
230,20240114,1,5,Match_5pct,Medium_50_75pct,95,62,33,66,-47.57,0.52,111136.57
231,20240114,1,5,Match_5pct,High_75_90pct,465,292,173,63,99.87,0.53,268002.53
232,20240114,1,5,Match_5pct,Match_90pct+,439,179,260,41,-8.12,0.78,268719.58
233,20240114,1,5,Expensive_5_10pct,Low_0_50pct,393,227,166,58,32.3,0.9,176300.54
234,20240114,1,5,Expensive_5_10pct,Medium_50_75pct,155,17,138,11,-41.2,0.91,11272.62
235,20240114,1,5,Expensive_5_10pct,High_75_90pct,466,97,369,21,29.85,0.52,66047.25
236,20240114,1,5,Expensive_5_10pct,Match_90pct+,190,93,97,49,36.34,0.59,119200.26
237,20240114,1,5,Expensive_10pct+,Low_0_50pct,425,280,145,66,-1.15,0.56,336632.84
238,20240114,1,5,Expensive_10pct+,Medium_50_75pct,433,268,165,62,27.38,0.98,246325.47
239,20240114,1,5,Expensive_10pct+,High_75_90pct,56,7,49,13,-88.21,0.5,6649.1
240,20240114,1,5,Expensive_10pct+,Match_90pct+,496,367,129,74,19.57,0.76,725799.94
241,20240114,2,3,Cheaper_10pct+,Low_0_50pct,310,58,252,19,-12.59,0.67,108690.13
242,20240114,2,3,Cheaper_10pct+,Medium_50_75pct,258,152,106,59,45.3,0.9,241013.75
243,20240114,2,3,Cheaper_10pct+,High_75_90pct,291,104,187,36,-58.71,0.85,145707.68
244,20240114,2,3,Cheaper_10pct+,Match_90pct+,339,244,95,72,24.6,0.64,173003.92
245,20240114,2,3,Cheaper_5_10pct,Low_0_50pct,401,216,185,54,-89.99,0.63,375276.95
246,20240114,2,3,Cheaper_5_10pct,Medium_50_75pct,465,181,284,39,-95.78,0.99,175569.34
247,20240114,2,3,Cheaper_5_10pct,High_75_90pct,459,174,285,38,-9.3,0.85,165413.12
248,20240114,2,3,Cheaper_5_10pct,Match_90pct+,92,71,21,78,74.29,0.84,141388.94
249,20240114,2,3,Match_5pct,Low_0_50pct,172,86,86,50,98.36,0.79,102563.11
250,20240114,2,3,Match_5pct,Medium_50_75pct,341,272,69,80,34.1,0.83,227411.14
251,20240114,2,3,Match_5pct,High_75_90pct,302,39,263,13,24.07,0.59,68002.7
252,20240114,2,3,Match_5pct,Match_90pct+,192,44,148,23,-73.86,0.54,79295.05
253,20240114,2,3,Expensive_5_10pct,Low_0_50pct,188,60,128,32,-12.21,0.74,43045.23
254,20240114,2,3,Expensive_5_10pct,Medium_50_75pct,213,108,105,51,62.1,0.98,117775.18
255,20240114,2,3,Expensive_5_10pct,High_75_90pct,301,30,271,10,-76.07,0.89,16498.13
256,20240114,2,3,Expensive_5_10pct,Match_90pct+,169,128,41,76,-25.25,0.63,219371.49
257,20240114,2,3,Expensive_10pct+,Low_0_50pct,105,77,28,74,52.23,0.66,49414.92
258,20240114,2,3,Expensive_10pct+,Medium_50_75pct,153,41,112,27,-29.54,0.83,39318.45
259,20240114,2,3,Expensive_10pct+,High_75_90pct,436,95,341,22,99.91,0.94,189549.73
260,20240114,2,3,Expensive_10pct+,Match_90pct+,148,20,128,14,79.79,0.7,27012.35
261,20240114,2,4,Cheaper_10pct+,Low_0_50pct,370,129,241,35,6.91,0.59,92212.7
262,20240114,2,4,Cheaper_10pct+,Medium_50_75pct,311,121,190,39,-54.86,0.74,240853.92
263,20240114,2,4,Cheaper_10pct+,High_75_90pct,167,115,52,69,-8.16,0.82,217123.8
264,20240114,2,4,Cheaper_10pct+,Match_90pct+,318,111,207,35,7.87,0.74,187602.01
265,20240114,2,4,Cheaper_5_10pct,Low_0_50pct,455,200,255,44,-51.44,0.98,157486.27
266,20240114,2,4,Cheaper_5_10pct,Medium_50_75pct,460,202,258,44,1.44,0.92,378400.47
267,20240114,2,4,Cheaper_5_10pct,High_75_90pct,353,102,251,29,76.11,0.59,99220.91
268,20240114,2,4,Cheaper_5_10pct,Match_90pct+,348,250,98,72,36.39,0.87,402207.22
269,20240114,2,4,Match_5pct,Low_0_50pct,253,169,84,67,-82.65,0.57,103934.43
270,20240114,2,4,Match_5pct,Medium_50_75pct,426,336,90,79,-2.04,0.67,503435.88
271,20240114,2,4,Match_5pct,High_75_90pct,191,137,54,72,-42.24,0.78,137521.3
272,20240114,2,4,Match_5pct,Match_90pct+,361,166,195,46,-26.53,0.71,104430.92
