Booking_ID,Hotel_ID,Customer_Persona_ID,Room_Type_ID,Booking_Date_ID,CheckIn_Date_ID,CheckOut_Date_ID,Booking_Amount_SAR,Commission_Rate_Pct,Commission_Amount_SAR,Payment_Method,Payment_Status,Cancellation_Flag,Cancellation_Date_ID,Cancellation_Reason,Length_Of_Stay_Nights,Number_Of_Guests,Repeat_Customer_Flag,Source_Channel_ID,Loyalty_Member_Flag,Loyalty_Discount_Applied_Pct,Lead_Time_Days
10084,1034,6,105,20240101,20240106,20240109,4320.0,19.467355218064533,840.99,Installments,Completed,0,,,3,1,1,3,0,6.18,5
10085,1052,5,106,20240101,20240107,20240111,3037.5,21.90290377418814,665.3,Installments,Completed,0,,,4,2,0,4,0,,6
10086,1071,2,108,20240101,20240111,20240113,4320.0,22.61859619971107,977.12,Installments,Completed,0,,,2,1,0,1,1,,10
10087,1069,2,104,20240101,20240110,20240113,1213.2,18.281176377422064,221.79,Installments,Completed,0,,,3,1,0,4,0,,9
10088,1073,1,107,20240101,20240109,20240111,667.26,21.727677122273693,144.98,Mada,Completed,0,,,2,2,0,1,0,,8
10089,1061,7,106,20240101,20240106,20240108,909.9,19.088669358192483,173.69,Mada,Completed,0,,,2,4,1,2,0,,5
10090,1051,1,101,20240101,20240110,20240113,4050.0,22.27858140906128,902.28,Mada,Completed,0,,,3,4,0,2,1,,9
10091,1015,1,104,20240101,20240107,20240111,485.28,21.149232072089124,102.63,CreditCard,Completed,0,,,4,1,0,1,1,9.39,6
10092,1008,6,106,20240101,20240112,20240115,909.9,17.34161517141657,157.79,CreditCard,Completed,0,,,3,2,0,2,0,10.57,11
10093,1055,7,106,20240101,20240112,20240115,2227.5,15.46884096952455,344.57,Installments,Completed,0,,,3,2,1,2,0,,11
10094,1019,3,107,20240101,20240109,20240112,1080.0,20.62385949586909,222.74,CreditCard,Completed,0,,,3,3,0,4,0,12.25,8
10095,1035,6,105,20240101,20240107,20240110,1080.0,23.736204584895397,256.35,CreditCard,Completed,1,20240104.0,Found Better Price,3,2,0,1,0,,6
10096,1027,7,108,20240101,20240112,20240115,4320.0,20.520792925478144,886.5,Installments,Completed,0,,,3,3,1,4,0,,11
10097,1041,7,105,20240101,20240113,20240116,1091.88,18.12922018870191,197.95,CreditCard,Completed,1,20240106.0,Change of Plans,3,2,1,2,0,,12
10098,1063,6,103,20240101,20240109,20240111,2227.5,19.608289984482052,436.77,CreditCard,Completed,0,,,2,4,1,1,0,,8
10099,1007,2,103,20240101,20240113,20240118,485.28,16.3749153049696,79.46,CreditCard,Completed,0,,,5,4,1,4,0,10.32,12
10100,1003,7,103,20240101,20240107,20240109,3037.5,20.35738102923925,618.36,CreditCard,Completed,0,,,2,2,1,3,0,8.97,6
10101,1059,2,101,20240103,20240110,20240112,8100.0,24.902330316397276,2017.09,CreditCard,Completed,0,,,2,4,0,1,0,,7
10102,1056,2,101,20240101,20240110,20240115,3645.0,20.65856627951035,753.0,CreditCard,Completed,0,,,5,4,1,1,0,10.43,9
10103,1041,7,102,20240101,20240108,20240110,2426.4,20.870361040844884,506.4,Mada,Completed,0,,,2,2,0,4,0,,7
10104,1018,1,102,20240102,20240113,20240115,2632.5,20.007928516377252,526.71,Mada,Completed,0,,,2,1,1,4,0,,11
10105,1058,7,103,20240101,20240113,20240117,4320.0,18.55811197705848,801.71,Installments,Completed,0,,,4,4,1,3,0,,12
10106,1020,2,102,20240101,20240109,20240114,2160.0,22.396552889765946,483.77,CreditCard,Completed,0,,,5,4,1,3,1,9.31,8
10107,1004,6,107,20240101,20240107,20240109,1091.88,20.54219805397572,224.3,CreditCard,Completed,0,,,2,4,0,2,0,8.81,6
10108,1039,5,107,20240101,20240109,20240112,1188.0,16.459348206465478,195.54,Mada,Completed,0,,,3,1,1,2,0,,8
10109,1014,7,106,20240101,20240110,20240113,909.9,15.067673694254715,137.1,Mada,Completed,0,,,3,2,1,2,0,8.98,9
10110,1063,7,106,20240101,20240109,20240111,8100.0,18.258862374429054,1478.97,CreditCard,Completed,0,,,2,2,0,2,0,,8
10111,1027,3,105,20240106,20240112,20240115,1620.0,23.31281808710361,377.67,CreditCard,Completed,1,20240111.0,Schedule Conflict,3,2,0,4,1,,6
10112,1052,6,102,20240102,20240111,20240114,1620.0,20.436452033874776,331.07,CreditCard,Completed,0,,,3,3,1,1,0,,9
10113,1043,4,108,20240101,20240113,20240115,1404.0,15.1054777278458,212.08,Mada,Completed,0,,,2,2,1,1,0,14.21,12
10114,1019,8,106,20240101,20240107,20240112,1620.0,18.43066680843626,298.58,Mada,Completed,0,,,5,4,1,3,1,,6
10115,1044,4,103,20240101,20240113,20240115,2632.5,21.77139332890884,573.13,Installments,Completed,0,,,2,4,0,2,0,,12
10116,1056,8,107,20240101,20240112,20240115,1080.0,22.373883695461373,241.64,Mada,Failed,0,,,3,2,1,1,0,,11
10117,1042,8,106,20240101,20240109,20240112,667.26,16.139549707051618,107.69,Installments,Completed,0,,,3,4,0,3,0,,8
10118,1039,4,105,20240101,20240113,20240116,2632.5,21.721100817169827,571.81,CreditCard,Completed,0,,,3,2,0,4,0,,12
10119,1063,3,103,20240101,20240108,20240110,4050.0,20.549125758324976,832.24,Mada,Completed,0,,,2,1,0,1,0,8.84,7
10120,1063,1,104,20240101,20240110,20240113,1188.0,19.886995119396857,236.26,Mada,Completed,0,,,3,2,0,2,0,,9
10121,1066,6,101,20240101,20240112,20240115,438.1,17.67888909392901,77.45,Installments,Completed,0,,,3,2,0,1,0,,11
10122,1005,8,102,20240101,20240110,20240113,900.0,18.485769768223136,166.37,CreditCard,Completed,0,,,3,3,0,4,1,7.07,9
10123,1008,3,106,20240101,20240114,20240117,2025.0,20.322807973704116,411.54,Installments,Completed,0,,,3,3,0,1,1,,13
10124,1036,4,107,20240105,20240108,20240110,2250.0,22.014265273964316,495.32,Mada,Completed,1,20240105.0,Schedule Conflict,2,3,0,4,0,,3
10125,1066,8,108,20240101,20240111,20240116,1687.5,21.947036157275445,370.36,Mada,Completed,0,,,5,1,0,4,0,,10
10126,1069,8,105,20240101,20240114,20240119,2400.0,24.681285800758236,592.35,Mada,Completed,0,,,5,3,0,2,0,,13
10127,1007,1,102,20240101,20240113,20240115,438.1,21.26179522155894,93.15,CreditCard,Completed,0,,,2,1,0,4,1,,12
10128,1039,2,106,20240101,20240113,20240116,505.5,15.933399845256504,80.54,Installments,Completed,0,,,3,2,1,3,0,,12
10129,1012,3,104,20240101,20240113,20240115,1462.5,15.010863036917236,219.53,Installments,Completed,0,,,2,1,1,3,0,,12
10130,1017,2,102,20240102,20240113,20240115,780.0,17.28946867459043,134.86,Mada,Completed,0,,,2,3,1,2,0,,11
10131,1073,3,107,20240101,20240112,20240117,674.0,19.40099420779852,130.76,Installments,Completed,0,,,5,2,1,1,1,12.3,11
10132,1041,5,101,20240101,20240111,20240113,1348.0,17.769676569448453,239.54,Installments,Completed,0,,,2,2,0,2,0,5.55,10
10133,1050,1,106,20240101,20240111,20240114,1348.0,19.995825412726575,269.54,Mada,Completed,0,,,3,4,1,2,0,,10
10134,1009,7,105,20240101,20240108,20240113,505.5,17.157429385172343,86.73,Installments,Completed,0,,,5,4,0,4,1,,7
10135,1011,3,106,20240101,20240110,20240113,780.0,20.113046982953314,156.88,Mada,Completed,0,,,3,1,1,4,0,,9
10136,1012,5,103,20240101,20240109,20240111,780.0,19.533718422971425,152.36,CreditCard,Failed,0,,,2,2,0,2,0,,8
10137,1048,1,106,20240101,20240110,20240114,505.5,22.329358375550417,112.87,Mada,Completed,0,,,4,1,1,1,0,,9
10138,1073,2,104,20240101,20240112,20240114,606.6,16.57309981101126,100.53,Installments,Completed,0,,,2,1,0,1,1,,11
10139,1023,6,105,20240101,20240110,20240112,269.6,17.245153138175755,46.49,CreditCard,Completed,0,,,2,1,0,1,1,,9
10140,1009,2,108,20240105,20240112,20240114,900.0,22.735274795058853,204.62,CreditCard,Completed,0,,,2,3,0,3,0,8.68,7
10141,1026,1,104,20240103,20240115,20240118,4500.0,16.505663767932198,742.75,Installments,Completed,0,,,3,1,0,1,0,,12
10142,1027,3,105,20240101,20240109,20240113,4500.0,19.198158420028452,863.92,CreditCard,Completed,0,,,4,2,0,4,0,,8
10143,1013,1,107,20240101,20240113,20240118,2250.0,21.37215680032692,480.87,Installments,Completed,0,,,5,2,1,3,0,,12
10144,1058,2,103,20240101,20240111,20240113,2400.0,15.746874358024797,377.92,CreditCard,Completed,0,,,2,4,1,1,0,,10
10145,1040,5,101,20240101,20240112,20240115,900.0,23.52482185661149,211.72,CreditCard,Completed,0,,,3,3,1,2,0,,11
10146,1039,8,104,20240101,20240114,20240116,1200.0,15.310820933587596,183.73,CreditCard,Completed,0,,,2,2,1,1,0,,13
10147,1052,2,101,20240102,20240110,20240113,780.0,20.82323801414063,162.42,CreditCard,Completed,0,,,3,4,0,1,0,,8
10148,1006,7,108,20240104,20240109,20240111,600.0,16.679892087290565,100.08,CreditCard,Completed,0,,,2,4,1,2,0,9.46,5
10149,1032,8,101,20240101,20240109,20240112,1687.5,19.98891609996499,337.31,CreditCard,Completed,0,,,3,2,0,2,0,,8
10150,1046,6,107,20240101,20240112,20240114,660.0,18.44034119789876,121.71,Mada,Completed,0,,,2,3,0,1,0,,11
10151,1061,3,102,20240101,20240115,20240117,2025.0,22.66842168450273,459.04,CreditCard,Completed,0,,,2,3,0,1,0,,14
10152,1023,6,101,20240101,20240111,20240113,1348.0,20.92519509181413,282.07,Installments,Completed,0,,,2,2,0,2,0,,10
10153,1040,1,106,20240106,20240114,20240117,370.7,15.379637412000998,57.01,Installments,Completed,1,20240106.0,Schedule Conflict,3,2,1,2,0,,8
10154,1003,6,102,20240101,20240110,20240112,674.0,22.74366498819892,153.29,Mada,Completed,0,,,2,4,0,3,0,6.58,9
10155,1063,6,104,20240101,20240116,20240118,2025.0,16.742026709555308,339.03,Installments,Completed,0,,,2,2,1,3,1,,15
10156,1073,4,102,20240105,20240116,20240118,674.0,21.02388667450971,141.7,Mada,Completed,0,,,2,1,1,3,1,,11
10157,1043,2,106,20240101,20240116,20240121,600.0,17.65212440562876,105.91,Mada,Completed,0,,,5,1,1,4,0,,15
10158,1049,4,103,20240101,20240113,20240115,480.0,16.014285596371217,76.87,Mada,Completed,0,,,2,1,1,3,1,8.42,12
10159,1010,8,101,20240107,20240111,20240113,1462.5,18.379505842479357,268.8,Mada,Completed,0,,,2,2,0,4,1,7.06,4
10160,1071,2,101,20240101,20240113,20240116,1687.5,21.605978927129733,364.6,Mada,Completed,0,,,3,4,1,3,1,13.24,12
10161,1013,2,108,20240107,20240111,20240114,1348.0,16.70832191692223,225.23,CreditCard,Completed,0,,,3,4,0,3,1,,4
10162,1049,8,105,20240101,20240112,20240115,1200.0,19.457752707944582,233.49,CreditCard,Completed,0,,,3,1,1,1,1,,11
10163,1030,7,108,20240101,20240116,20240118,1125.0,23.407971664302504,263.34,Installments,Completed,0,,,2,4,1,4,0,,15
10164,1058,3,101,20240101,20240110,20240113,674.0,24.721648783377567,166.62,Mada,Completed,0,,,3,4,1,2,0,14.11,9
10165,1050,8,101,20240101,20240110,20240115,900.0,20.52054191575399,184.68,Installments,Completed,0,,,5,4,1,2,1,,9
10166,1073,7,105,20240101,20240110,20240115,505.5,23.674752677651753,119.68,Mada,Completed,0,,,5,4,1,3,0,,9
10167,1051,5,106,20240101,20240110,20240112,2400.0,15.492909755241111,371.83,CreditCard,Completed,0,,,2,3,1,4,0,,9
10168,1039,7,102,20240101,20240111,20240114,1237.5,22.740309001939245,281.41,CreditCard,Completed,0,,,3,4,0,3,0,,10
10169,1040,1,103,20240101,20240111,20240114,900.0,16.3564982101706,147.21,CreditCard,Completed,0,,,3,2,0,2,1,8.6,10
10170,1048,1,104,20240101,20240113,20240116,480.0,21.35409809075844,102.5,Mada,Completed,0,,,3,4,1,4,0,,12
10171,1034,3,104,20240101,20240117,20240120,1462.5,17.850693764347618,261.07,CreditCard,Completed,0,,,3,2,1,4,0,,16
10172,1017,5,107,20240105,20240114,20240116,2250.0,21.011419504945337,472.76,Mada,Completed,1,20240109.0,Schedule Conflict,2,4,1,4,0,,9
10173,1014,5,105,20240104,20240115,20240117,606.6,20.614571172546007,125.05,Installments,Completed,0,,,2,1,1,3,0,,11
10174,1039,1,107,20240101,20240116,20240120,674.0,20.172935855796513,135.97,Installments,Completed,0,,,4,2,0,4,0,9.19,15
10175,1005,8,106,20240103,20240116,20240118,4500.0,18.431670496355732,829.43,Installments,Completed,0,,,2,2,0,2,1,,13
10176,1072,4,105,20240101,20240116,20240120,606.6,21.544346443511532,130.69,Mada,Completed,0,,,4,3,1,3,0,5.54,15
10177,1025,5,107,20240101,20240114,20240119,1462.5,23.674977546982298,346.25,CreditCard,Completed,0,,,5,2,1,2,0,,13
10178,1041,3,106,20240102,20240112,20240115,2250.0,22.789411774338145,512.76,Installments,Completed,0,,,3,4,1,2,0,12.85,10
10179,1056,7,101,20240101,20240112,20240117,900.0,19.033934803979506,171.31,CreditCard,Completed,0,,,5,3,0,3,0,,11
10180,1001,5,103,20240101,20240116,20240118,4500.0,17.262657112890835,776.82,CreditCard,Completed,0,,,2,3,1,1,1,12.28,15
10181,1018,7,101,20240101,20240114,20240116,660.0,18.592508863666325,122.71,CreditCard,Completed,0,,,2,2,1,1,0,8.67,13
10182,1033,2,107,20240105,20240114,20240116,1125.0,20.939240678748504,235.57,Mada,Completed,1,20240106.0,Change of Plans,2,3,0,2,1,,9
10183,1054,3,107,20240106,20240113,20240115,1462.5,21.624829658888967,316.26,CreditCard,Completed,0,,,2,1,1,1,0,,7
10184,1067,1,108,20240101,20240117,20240121,606.6,22.034367502462583,133.66,CreditCard,Completed,0,,,4,4,1,1,1,6.1,16
10185,1012,8,105,20240107,20240113,20240116,1462.5,22.23563616898479,325.2,Mada,Completed,1,20240111.0,Schedule Conflict,3,1,0,1,0,,6
10186,1015,3,106,20240101,20240115,20240117,337.0,15.096723277270698,50.88,Mada,Completed,0,,,2,3,0,1,0,,14
10187,1052,8,107,20240101,20240115,20240120,900.0,23.357083453663847,210.21,Installments,Completed,0,,,5,2,1,1,0,,14
10188,1062,6,101,20240101,20240115,20240120,1237.5,16.812605605373022,208.06,Installments,Completed,0,,,5,2,0,4,1,,14
10189,1034,4,106,20240106,20240112,20240114,2025.0,15.123602129859341,306.25,Installments,Completed,0,,,2,1,0,2,0,,6
10190,1072,8,108,20240110,20240113,20240115,1125.0,15.116448673859143,170.06,CreditCard,Completed,0,,,2,4,1,3,0,7.23,3
10191,1031,2,108,20240106,20240115,20240117,370.7,19.44188876459459,72.07,Mada,Completed,0,,,2,4,0,1,1,,9
10192,1012,8,106,20240101,20240118,20240120,1687.5,23.901108988250623,403.33,Mada,Completed,0,,,2,2,0,3,0,,17
10193,1047,4,101,20240106,20240117,20240120,1237.5,16.140233583557382,199.74,Mada,Completed,0,,,3,3,0,3,0,6.64,11
10194,1053,7,104,20240105,20240118,20240121,505.5,21.108517661386838,106.7,Mada,Completed,0,,,3,2,0,1,0,11.33,13
10195,1058,8,103,20240101,20240118,20240123,1200.0,24.638547561975464,295.66,Installments,Completed,1,20240109.0,Other,5,2,1,3,0,,17
10196,1051,7,105,20240101,20240114,20240117,900.0,19.52845706081367,175.76,Installments,Completed,0,,,3,3,0,2,1,,13
10197,1045,3,106,20240101,20240117,20240121,2250.0,24.813354962348672,558.3,Installments,Completed,0,,,4,3,0,4,0,,16
10198,1055,1,104,20240101,20240118,20240122,438.1,15.252721412544721,66.82,Mada,Completed,0,,,4,2,0,3,1,12.84,17
10199,1070,4,107,20240101,20240118,20240121,606.6,23.140262175544684,140.37,CreditCard,Completed,0,,,3,3,0,1,0,,17
10200,1007,8,104,20240106,20240116,20240118,505.5,17.03087222729338,86.09,Installments,Completed,0,,,2,3,0,2,0,,10
10201,1023,2,107,20240101,20240116,20240120,2632.5,16.869765815323237,444.1,CreditCard,Completed,0,,,4,3,1,3,1,,15
10202,1020,5,108,20240101,20240113,20240116,1080.0,22.73660949858888,245.56,Installments,Completed,0,,,3,1,0,3,0,,12
10203,1065,6,104,20240101,20240119,20240124,485.28,20.430801550823148,99.15,CreditCard,Completed,0,,,5,3,1,2,0,,18
10204,1002,4,101,20240105,20240117,20240120,1091.88,19.456672462846925,212.44,Installments,Completed,0,,,3,4,0,1,0,,12
