Date_ID,Calendar_Date,Year,Quarter,Month_Number,Month_Name,Day_Of_Month,Day_Of_Week,Week_Number,Is_Weekend,Is_Holiday,Holiday_Name,Hijri_Date,Hijri_Month_Name,Hijri_Month_Number,Hijri_Year,Is_Ramadan_Period,Is_Hajj_Season,Is_Eid_Period,Season_Type,Event_Flag_Founding_Day,Event_Flag_National_Day
20240308,2024-03-08,2024,1,3,March,8,Friday,10,1,0,,08/03/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240309,2024-03-09,2024,1,3,March,9,Saturday,10,1,0,,09/03/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240310,2024-03-10,2024,1,3,March,10,Sunday,10,0,0,,10/03/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240311,2024-03-11,2024,1,3,March,11,Monday,11,0,0,,11/03/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240312,2024-03-12,2024,1,3,March,12,Tuesday,11,0,0,,12/03/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240313,2024-03-13,2024,1,3,March,13,Wednesday,11,0,0,,13/03/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240314,2024-03-14,2024,1,3,March,14,Thursday,11,0,0,,14/03/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240315,2024-03-15,2024,1,3,March,15,Friday,11,1,0,,15/03/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240316,2024-03-16,2024,1,3,March,16,Saturday,11,1,0,,16/03/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240317,2024-03-17,2024,1,3,March,17,Sunday,11,0,0,,17/03/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240318,2024-03-18,2024,1,3,March,18,Monday,12,0,0,,18/03/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240319,2024-03-19,2024,1,3,March,19,Tuesday,12,0,0,,19/03/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240320,2024-03-20,2024,1,3,March,20,Wednesday,12,0,0,,20/03/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240321,2024-03-21,2024,1,3,March,21,Thursday,12,0,0,,21/03/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240322,2024-03-22,2024,1,3,March,22,Friday,12,1,0,,22/03/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240323,2024-03-23,2024,1,3,March,23,Saturday,12,1,0,,23/03/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240324,2024-03-24,2024,1,3,March,24,Sunday,12,0,0,,24/03/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240325,2024-03-25,2024,1,3,March,25,Monday,13,0,0,,25/03/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240326,2024-03-26,2024,1,3,March,26,Tuesday,13,0,0,,26/03/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240327,2024-03-27,2024,1,3,March,27,Wednesday,13,0,0,,27/03/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240328,2024-03-28,2024,1,3,March,28,Thursday,13,0,0,,28/03/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240329,2024-03-29,2024,1,3,March,29,Friday,13,1,0,,29/03/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240330,2024-03-30,2024,1,3,March,30,Saturday,13,1,0,,30/03/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240331,2024-03-31,2024,1,3,March,31,Sunday,13,0,0,,31/03/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240401,2024-04-01,2024,2,4,April,1,Monday,14,0,0,,01/04/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240402,2024-04-02,2024,2,4,April,2,Tuesday,14,0,0,,02/04/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240403,2024-04-03,2024,2,4,April,3,Wednesday,14,0,0,,03/04/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240404,2024-04-04,2024,2,4,April,4,Thursday,14,0,0,,04/04/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240405,2024-04-05,2024,2,4,April,5,Friday,14,1,0,,05/04/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240406,2024-04-06,2024,2,4,April,6,Saturday,14,1,0,,06/04/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240407,2024-04-07,2024,2,4,April,7,Sunday,14,0,0,,07/04/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240408,2024-04-08,2024,2,4,April,8,Monday,15,0,0,,08/04/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240409,2024-04-09,2024,2,4,April,9,Tuesday,15,0,0,,09/04/2024,Ramadan,9,1445,1,0,0,Ramadan,0,0
20240410,2024-04-10,2024,2,4,April,10,Wednesday,15,0,0,,10/04/2024,Shawwal,10,1445,0,0,1,Holiday,0,0
20240411,2024-04-11,2024,2,4,April,11,Thursday,15,0,0,,11/04/2024,Shawwal,10,1445,0,0,1,Business,0,0
20240412,2024-04-12,2024,2,4,April,12,Friday,15,1,0,,12/04/2024,Shawwal,10,1445,0,0,1,Weekend,0,0
20240413,2024-04-13,2024,2,4,April,13,Saturday,15,1,0,,13/04/2024,Shawwal,10,1445,0,0,1,Weekend,0,0
20240414,2024-04-14,2024,2,4,April,14,Sunday,15,0,0,,14/04/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240415,2024-04-15,2024,2,4,April,15,Monday,16,0,0,,15/04/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240416,2024-04-16,2024,2,4,April,16,Tuesday,16,0,0,,16/04/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240417,2024-04-17,2024,2,4,April,17,Wednesday,16,0,0,,17/04/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240418,2024-04-18,2024,2,4,April,18,Thursday,16,0,0,,18/04/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240419,2024-04-19,2024,2,4,April,19,Friday,16,1,0,,19/04/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240420,2024-04-20,2024,2,4,April,20,Saturday,16,1,0,,20/04/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240421,2024-04-21,2024,2,4,April,21,Sunday,16,0,0,,21/04/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240422,2024-04-22,2024,2,4,April,22,Monday,17,0,0,,22/04/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240423,2024-04-23,2024,2,4,April,23,Tuesday,17,0,0,,23/04/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240424,2024-04-24,2024,2,4,April,24,Wednesday,17,0,0,,24/04/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240425,2024-04-25,2024,2,4,April,25,Thursday,17,0,0,,25/04/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240426,2024-04-26,2024,2,4,April,26,Friday,17,1,0,,26/04/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240427,2024-04-27,2024,2,4,April,27,Saturday,17,1,0,,27/04/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240428,2024-04-28,2024,2,4,April,28,Sunday,17,0,0,,28/04/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240429,2024-04-29,2024,2,4,April,29,Monday,18,0,0,,29/04/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240430,2024-04-30,2024,2,4,April,30,Tuesday,18,0,0,,30/04/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240501,2024-05-01,2024,2,5,May,1,Wednesday,18,0,0,,01/05/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240502,2024-05-02,2024,2,5,May,2,Thursday,18,0,0,,02/05/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240503,2024-05-03,2024,2,5,May,3,Friday,18,1,0,,03/05/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240504,2024-05-04,2024,2,5,May,4,Saturday,18,1,0,,04/05/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240505,2024-05-05,2024,2,5,May,5,Sunday,18,0,0,,05/05/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240506,2024-05-06,2024,2,5,May,6,Monday,19,0,0,,06/05/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240507,2024-05-07,2024,2,5,May,7,Tuesday,19,0,0,,07/05/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240508,2024-05-08,2024,2,5,May,8,Wednesday,19,0,0,,08/05/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240509,2024-05-09,2024,2,5,May,9,Thursday,19,0,0,,09/05/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240510,2024-05-10,2024,2,5,May,10,Friday,19,1,0,,10/05/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240511,2024-05-11,2024,2,5,May,11,Saturday,19,1,0,,11/05/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240512,2024-05-12,2024,2,5,May,12,Sunday,19,0,0,,12/05/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240513,2024-05-13,2024,2,5,May,13,Monday,20,0,0,,13/05/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240514,2024-05-14,2024,2,5,May,14,Tuesday,20,0,0,,14/05/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240515,2024-05-15,2024,2,5,May,15,Wednesday,20,0,0,,15/05/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240516,2024-05-16,2024,2,5,May,16,Thursday,20,0,0,,16/05/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240517,2024-05-17,2024,2,5,May,17,Friday,20,1,0,,17/05/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240518,2024-05-18,2024,2,5,May,18,Saturday,20,1,0,,18/05/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240519,2024-05-19,2024,2,5,May,19,Sunday,20,0,0,,19/05/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240520,2024-05-20,2024,2,5,May,20,Monday,21,0,0,,20/05/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240521,2024-05-21,2024,2,5,May,21,Tuesday,21,0,0,,21/05/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240522,2024-05-22,2024,2,5,May,22,Wednesday,21,0,0,,22/05/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240523,2024-05-23,2024,2,5,May,23,Thursday,21,0,0,,23/05/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240524,2024-05-24,2024,2,5,May,24,Friday,21,1,0,,24/05/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240525,2024-05-25,2024,2,5,May,25,Saturday,21,1,0,,25/05/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240526,2024-05-26,2024,2,5,May,26,Sunday,21,0,0,,26/05/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240527,2024-05-27,2024,2,5,May,27,Monday,22,0,0,,27/05/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240528,2024-05-28,2024,2,5,May,28,Tuesday,22,0,0,,28/05/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240529,2024-05-29,2024,2,5,May,29,Wednesday,22,0,0,,29/05/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240530,2024-05-30,2024,2,5,May,30,Thursday,22,0,0,,30/05/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240531,2024-05-31,2024,2,5,May,31,Friday,22,1,0,,31/05/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240601,2024-06-01,2024,2,6,June,1,Saturday,22,1,0,,01/06/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240602,2024-06-02,2024,2,6,June,2,Sunday,22,0,0,,02/06/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240603,2024-06-03,2024,2,6,June,3,Monday,23,0,0,,03/06/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240604,2024-06-04,2024,2,6,June,4,Tuesday,23,0,0,,04/06/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240605,2024-06-05,2024,2,6,June,5,Wednesday,23,0,0,,05/06/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240606,2024-06-06,2024,2,6,June,6,Thursday,23,0,0,,06/06/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240607,2024-06-07,2024,2,6,June,7,Friday,23,1,0,,07/06/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240608,2024-06-08,2024,2,6,June,8,Saturday,23,1,0,,08/06/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240609,2024-06-09,2024,2,6,June,9,Sunday,23,0,0,,09/06/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240610,2024-06-10,2024,2,6,June,10,Monday,24,0,0,,10/06/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240611,2024-06-11,2024,2,6,June,11,Tuesday,24,0,0,,11/06/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240612,2024-06-12,2024,2,6,June,12,Wednesday,24,0,0,,12/06/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240613,2024-06-13,2024,2,6,June,13,Thursday,24,0,0,,13/06/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240614,2024-06-14,2024,2,6,June,14,Friday,24,1,0,,14/06/2024,Dhul Hijjah,12,1445,0,1,0,Hajj,0,0
20240615,2024-06-15,2024,2,6,June,15,Saturday,24,1,0,,15/06/2024,Dhul Hijjah,12,1445,0,1,0,Hajj,0,0
20240616,2024-06-16,2024,2,6,June,16,Sunday,24,0,0,,16/06/2024,Dhul Hijjah,12,1445,0,1,1,Hajj,0,0
20240617,2024-06-17,2024,2,6,June,17,Monday,25,0,0,,17/06/2024,Dhul Hijjah,12,1445,0,1,1,Hajj,0,0
20240618,2024-06-18,2024,2,6,June,18,Tuesday,25,0,0,,18/06/2024,Dhul Hijjah,12,1445,0,1,1,Hajj,0,0
20240619,2024-06-19,2024,2,6,June,19,Wednesday,25,0,0,,19/06/2024,Dhul Hijjah,12,1445,0,1,1,Hajj,0,0
20240620,2024-06-20,2024,2,6,June,20,Thursday,25,0,0,,20/06/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240621,2024-06-21,2024,2,6,June,21,Friday,25,1,0,,21/06/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240622,2024-06-22,2024,2,6,June,22,Saturday,25,1,0,,22/06/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240623,2024-06-23,2024,2,6,June,23,Sunday,25,0,0,,23/06/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240624,2024-06-24,2024,2,6,June,24,Monday,26,0,0,,24/06/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240625,2024-06-25,2024,2,6,June,25,Tuesday,26,0,0,,25/06/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240626,2024-06-26,2024,2,6,June,26,Wednesday,26,0,0,,26/06/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240627,2024-06-27,2024,2,6,June,27,Thursday,26,0,0,,27/06/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240628,2024-06-28,2024,2,6,June,28,Friday,26,1,0,,28/06/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240629,2024-06-29,2024,2,6,June,29,Saturday,26,1,0,,29/06/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240630,2024-06-30,2024,2,6,June,30,Sunday,26,0,0,,30/06/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240701,2024-07-01,2024,3,7,July,1,Monday,27,0,0,,01/07/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240702,2024-07-02,2024,3,7,July,2,Tuesday,27,0,0,,02/07/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240703,2024-07-03,2024,3,7,July,3,Wednesday,27,0,0,,03/07/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240704,2024-07-04,2024,3,7,July,4,Thursday,27,0,0,,04/07/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240705,2024-07-05,2024,3,7,July,5,Friday,27,1,0,,05/07/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240706,2024-07-06,2024,3,7,July,6,Saturday,27,1,0,,06/07/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240707,2024-07-07,2024,3,7,July,7,Sunday,27,0,0,,07/07/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240708,2024-07-08,2024,3,7,July,8,Monday,28,0,0,,08/07/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240709,2024-07-09,2024,3,7,July,9,Tuesday,28,0,0,,09/07/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240710,2024-07-10,2024,3,7,July,10,Wednesday,28,0,0,,10/07/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240711,2024-07-11,2024,3,7,July,11,Thursday,28,0,0,,11/07/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240712,2024-07-12,2024,3,7,July,12,Friday,28,1,0,,12/07/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240713,2024-07-13,2024,3,7,July,13,Saturday,28,1,0,,13/07/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240714,2024-07-14,2024,3,7,July,14,Sunday,28,0,0,,14/07/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240715,2024-07-15,2024,3,7,July,15,Monday,29,0,0,,15/07/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240716,2024-07-16,2024,3,7,July,16,Tuesday,29,0,0,,16/07/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240717,2024-07-17,2024,3,7,July,17,Wednesday,29,0,0,,17/07/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240718,2024-07-18,2024,3,7,July,18,Thursday,29,0,0,,18/07/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240719,2024-07-19,2024,3,7,July,19,Friday,29,1,0,,19/07/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240720,2024-07-20,2024,3,7,July,20,Saturday,29,1,0,,20/07/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240721,2024-07-21,2024,3,7,July,21,Sunday,29,0,0,,21/07/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240722,2024-07-22,2024,3,7,July,22,Monday,30,0,0,,22/07/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240723,2024-07-23,2024,3,7,July,23,Tuesday,30,0,0,,23/07/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240724,2024-07-24,2024,3,7,July,24,Wednesday,30,0,0,,24/07/2024,Shawwal,10,1445,0,0,0,Business,0,0
